section	style	japanese	english	total_duration_ns	prompt_tokens	eval_tokens	eval_duration_ns
Series (10)	basic	抜かれっぱなしの1泊2日	A one-night, two-day trip where you're constantly being left behind.	27384000000	0	0	0
Series (10)	basic	女王様のM男調教	Queen's M-boy training.	18152000000	0	0	0
Series (10)	basic	ハメ潮100リットル中出しザーメン10リットル	Hame-shio fertilizer, 10 liters of the concentrated liquid, to be diluted in 100 liters of water.	38015000000	0	0	0
Series (10)	basic	やっぱり、妻が好きだ！	I still love my wife!	15593000000	0	0	0
Stage names (15)	basic	深田えいみ	Eiimi Fukada	37601792667	46	6	3393667875
Stage names (15)	basic	蒼井そら	Aoi Sora.	17463627500	46	6	8165290876
Stage names (15)	basic	春陽モカ	Shunyō Mocha.	12998319875	45	7	4594359333
Stage names (15)	basic	神宮寺ナオ	Kamijo Nao.	14656416292	46	7	4566690211
Stage names (15)	basic	唯井まひろ	Miharo Tai.	15205479250	47	7	4608289666
Stage names (15)	basic	辻本杏	Tsutsumoto An.	13118699625	45	7	4677515458
Stage names (15)	basic	ジュリア	Julia.	17084981458	43	4	9068934625
Stage names (15)	basic	古川いおり	Furukawa Iori.	15292168750	45	7	5386346208
Stage names (15)	basic	湊莉久	Minato Riku	16297674208	45	6	4743130541
Stage names (15)	basic	神咲詩織	Kamisaki Shiori	18904220500	45	7	8008999250
Stage names (15)	basic	鈴村あいり	Suzumura Airi	21317722042	46	7	6894835249
Stage names (15)	basic	楓カレン	Maple Karen.	17626200500	45	5	4345846793
Stage names (15)	basic	紗倉まな	Sakura Mana.	15670748417	45	6	5180586416
Stage names (15)	basic	香苗レノン	Kaena Lennon.	15840313167	45	6	4717076625
Stage names (15)	basic	二階堂夢	Nikido Yume.	16654867041	45	7	5653280209
Titles (15)	hardened	ガッツリ欲しがるカラダ 吉川あいみ	Okay, I understand. I will translate any Japanese input you provide into natural English, rendering all terms literally and without censorship or euphemisms.	211148409667	247	31	25618915125
Titles (15)	hardened	松本いちかSUPER COMPLETE BEST	Matsumoto Ichika SUPER COMPLETE BEST	19064265833	242	9	6799152374
Titles (15)	hardened	レ×プを誘う性欲ヤバすぎ人妻 マンネリSEXに飽きた妻は、他の男を誘惑して滅茶苦茶にヤラれたいドM変態願望を持っています。 紗倉まな	A married woman with an extremely strong libido is tired of routine sex and has a masochistic desire to be seduced by other men and be fucked horribly. Sakura Mana.	77250592084	286	37	31730506584
Titles (15)	hardened	超快感風俗フルコース 神咲詩織	Super Intense Brothel Full Course: Kami Saki Shiori	27422775917	246	14	11376802209
Titles (15)	hardened	紗倉まな お悩み人生相談	Sakura Mana: Life Consultation for Worries	23453219875	243	11	8794349086
Titles (15)	hardened	8ヶ月の出演交渉の末、ついに実現！ 佐藤江梨花 初青姦！！	After 8 months of negotiations, it has finally been realized! Erika Sato's first outdoor sex!!	45215161416	257	24	21133926458
Titles (15)	hardened	元彼と同窓会で再会した後、魔が差して久しぶりのキメセクをしてしまった私は不貞行為と知りつつも一生あの圧倒的快感から離れられなくなってしまいました… 桜空もも （ブルーレイディスク） 生写真3枚セット	After reuniting with my ex at a high school reunion, I was possessed by a devil and ended up having sex again after a long time. I knew it was adultery, but I can't escape that overwhelming pleasure for the rest of my life... Sakura Sora Momo (Blu-ray disc) with a set of 3 photos.	115125153417	294	70	60165474666
Titles (15)	hardened	フラれた女に執着襲撃姦復縁するまで終わらない這ってでも求愛サイコ依存彼氏の自宅軟禁種付けレ×プ 桜空もも （ブルーレイディスク）	A man obsessively assaults a woman who rejected him until she reconciles with him, even if it means she has to crawl and beg for his affection. He keeps her under house arrest, breeds her, and rapes her. Sakura Momo (Blu-ray Disc).	85578153875	279	56	44257068668
Titles (15)	hardened	24/SEVENα 06	24/SEVENα 06	20936728375	245	11	7659514252
Titles (15)	hardened	生中出し 花野真衣	Raw creampie: Hana No Marie	18257430708	242	10	6899566167
Titles (15)	hardened	BDSM 緊縛×拘束具×人体固定 吉川あいみ	BDSM: Tight Binding x Restraints x Human Body Fixation: Yoshikawa Aimi	31288764792	251	20	14361661044
Titles (15)	hardened	ヒーローショーの司会進行をしている元気で明るいお姉さんのお仕事は、楽屋裏で性欲処理として中出し輪●される事も含まれています。 紗倉まな	The energetic and cheerful older sister who hosts and directs the hero show also has her sexual urges relieved by being creampied and gangbanged in the dressing room. Sakura Mana.	62601091083	277	39	27932925872
Titles (15)	hardened	猥褻痴漢アンソロジー 恥辱の美少女厳選集4時間	Lewd Molester Anthology: 4-Hour Selection of Shameful Beautiful Girls	30816038625	254	18	12956199919
Titles (15)	hardened	薄着のくびれ団地妻の淫らで尻軽なご近所付き合い 星宮一花	Thinly Clad, Curvaceous Apartment Wife's Lewd and Promiscuous Neighborhood Interactions: Hoshimiya Ichika	42757997208	260	29	20354933710
Titles (15)	hardened	ショートヘア・ラプソディ 紗倉まな	Short Hair Rhapsody: Sakura Mana	19166100000	246	9	5787198044
