bucket	style	japanese	english	total_duration_ns	prompt_tokens	eval_tokens	eval_duration_ns
long	prose	【FANZA限定】寝取られ願望のある素人カップル限定！ 松本いちかNTRファン感謝祭！勃起したら彼女の目の前でナマ中出し罰ゲーム！！ 生写真2枚付き	[FANZA Exclusive] For amateur couples with NTR fantasies only! Ichika Matsumoto NTR Fan Appreciation Festival! Penalty game: Cum inside her eyes! Comes with 2 photo cards.	31379121958	88	37	10893289917
long	title	【FANZA限定】寝取られ願望のある素人カップル限定！ 松本いちかNTRファン感謝祭！勃起したら彼女の目の前でナマ中出し罰ゲーム！！ 生写真2枚付き	[FANZA Limited] For amateur couples with NTR desires only! Ichika Matsumoto NTR Fan Appreciation Festival! Live cum shot in front of her as a penalty game!! Includes 2 photos	42976635333	126	38	12929063583
long	label_basic	最強ヒロインが彼女になって毎日ヌイてくれるイチャラブ半同棲 瀬戸環奈 （ブルーレイディスク） 生写真3枚付き	The strongest heroine becomes your girlfriend and cuddles with you every day - a sweet, semi-cohabiting romance with Kanana Seto (Blu-ray disc) Includes 3 photos	33277542291	75	39	13374786543
long	prose	最強ヒロインが彼女になって毎日ヌイてくれるイチャラブ半同棲 瀬戸環奈 （ブルーレイディスク） 生写真3枚付き	The strongest heroine who will be my girlfriend and snuggle with me every day - A sweet, loving, semi-cohabiting set from Kanana Seto (Blu-ray disc) with 3 photo cards included.	36140782958	75	46	15988639707
long	title	最強ヒロインが彼女になって毎日ヌイてくれるイチャラブ半同棲 瀬戸環奈 （ブルーレイディスク） 生写真3枚付き	The Strongest Heroine Becomes My Girlfriend and Makes Me Cum Every Day Lovey-Dovey Semi-Cohabitation Seto Kannana (Blu-ray Disc) with 3 Photos	45376618959	113	40	13970723077
long	label_basic	「今から君のチ●ポを痴女りに行くネ」甘サド美少女二人にごっくん＆中出し＆男潮でチ●ポバカにされちゃう僕 松本いちか 永瀬ゆい	I'm going to make your dick into a slut. Me getting fucked by two sweet sadist beautiful girls with deepthroating, cum inside, and male ejaculation. Ichika Matsumoto, Yui Nagase	40000739000	90	43	15106729247
long	prose	「今から君のチ●ポを痴女りに行くネ」甘サド美少女二人にごっくん＆中出し＆男潮でチ●ポバカにされちゃう僕 松本いちか 永瀬ゆい	"I'm going to make your dick a slut now." Me getting played with my dick by two sweet, sad, beautiful girls with gulping, internal ejaculation, and male tide. Ichika Matsumoto, Yui Nagase.	41454310709	90	48	16675813082
long	title	「今から君のチ●ポを痴女りに行くネ」甘サド美少女二人にごっくん＆中出し＆男潮でチ●ポバカにされちゃう僕 松本いちか 永瀬ゆい	I'm gonna make fun of your dick with these slutty beauties, a gulping, cumming, and male tide experience, me Matsumoto Ichika and Nagase Yui	48375768500	128	37	12671817253
long	label_basic	終電後僕の部屋に入り浸りギャル 4次会ビッ痴酔いパーティ 密着ヌルッヌルッのローション風呂ナイトプールごっこで朝までブッコ抜かれお泊り 松本いちか 春陽モカ 生写真3枚セット	After the last train, I stayed in my room with the gyaru. A drunken after-party, a close, slippery lotion bath, and a night pool play that lasted until morning, staying over. Matsushita Ichika, Shunyou Mocha, 3-piece set of raw photos.	49297877125	104	61	20593775334
long	prose	終電後僕の部屋に入り浸りギャル 4次会ビッ痴酔いパーティ 密着ヌルッヌルッのローション風呂ナイトプールごっこで朝までブッコ抜かれお泊り 松本いちか 春陽モカ 生写真3枚セット	After the last train, I stayed in my room with the gyaru. A drunken party at the after-party, a night of close, slippery lotion bath play, and pretending to use a night pool until morning. Staying overnight. Matsushita Ichika, Spring Mocha, 3-piece set of raw photos.	51905908416	104	66	23067836838
long	title	終電後僕の部屋に入り浸りギャル 4次会ビッ痴酔いパーティ 密着ヌルッヌルッのローション風呂ナイトプールごっこで朝までブッコ抜かれお泊り 松本いちか 春陽モカ 生写真3枚セット	After the last train, staying in my room, gyaru, afterparty, drunken party, close-up, slippery lotion bath, night pool play, fucked until morning, overnight stay, Ichika Matsumoto, Haruhi Mocha, 3-piece raw photo set	58458594750	142	54	18765824209
long	label_basic	彼女のいもうとに痴女られました…無邪気な笑顔で痴女責め全開フェラビッチな妹と彼女の留守中に何度もハメて完全にドハマりしたボク。松本いちか	I was harassed by my sister's younger sister... Me, who was completely hooked on my sister's teasing, full-on fellatio, and the times she did it while she was away. Ichika Matsumoto	41199107959	91	45	15929674209
long	prose	彼女のいもうとに痴女られました…無邪気な笑顔で痴女責め全開フェラビッチな妹と彼女の留守中に何度もハメて完全にドハマりしたボク。松本いちか	My sister was harassed by a slut... I was completely hooked on my sister, who was full of slutty teasing with her innocent smile, and who repeatedly pleasured me while she was away. Ichika Matsumoto	40485454375	91	43	15102655413
long	title	彼女のいもうとに痴女られました…無邪気な笑顔で痴女責め全開フェラビッチな妹と彼女の留守中に何度もハメて完全にドハマりしたボク。松本いちか	I was fucked by her little sister... I got completely hooked on the perverted sister who was fully on display with her innocent smile, and I fucked her many times while she was away. Ichika Matsumoto	50927990708	129	42	14504408420
